customer_email,customer_name,customer_age,age_group,customer_value_tier,customer_segment
david83@example.net,Dennis Palmer,59,51-65,Medium,Enterprise
brandon64@example.com,Heidi Goodwin,57,51-65,Medium,Individual
mollybruce@example.org,Matthew Morgan,85,65+,High,Individual
imitchell@example.net,Cory Michael,57,51-65,High,Individual
hayesrachel@example.com,Vanessa Fleming,37,36-50,Medium,Enterprise
tracyjohnson@example.net,Matthew Newman,46,36-50,Low,Small Business
agomez@example.net,Christopher Jones,16,18-25,Medium,Small Business
crivers@example.com,Ryan Lawson,56,51-65,Medium,Enterprise
markgardner@example.org,Cheyenne Hughes,74,65+,Low,Small Business
alexander18@example.org,Crystal Abbott,53,51-65,Medium,Individual
kirbymichael@example.org,Jessica Wagner,37,36-50,Low,Individual
jose08@example.org,Thomas Moses,41,36-50,Low,Individual
john91@example.org,Marilyn Lozano,57,51-65,Premium,Enterprise
klara@example.net,Jonathan Guerrero,30,26-35,High,Small Business
torrestricia@example.com,Kelsey Frank Dvm,33,26-35,Low,Individual
marygarcia@example.com,Anonymous Customer,51,51-65,Low,Individual
hensleyvalerie@example.net,James Johnson,66,65+,Medium,Small Business
rebeccadecker@example.net,Michelle Thompson,48,36-50,Low,Individual
hernandezdaniel@example.net,Carla Young,28,26-35,High,Individual
kjohnson@example.net,Anonymous Customer,68,65+,Low,Individual
garymartinez@example.org,Ms. Kayla Williams,22,18-25,High,Individual
holtpaul@example.com,Christopher Smith,55,51-65,High,Small Business
hespinoza@example.org,Thomas Romero,56,51-65,Low,Individual
robertssamantha@example.org,Edward Watson,84,65+,Low,Individual
lawrencekari@example.com,Tanya Santos,85,65+,Low,Individual
jamesparker@example.net,Paul Chase,39,36-50,Medium,Enterprise
jessicavang@example.com,Rachel Johnson,44,36-50,Low,Small Business
qreynolds@example.com,Alejandro Barker,64,51-65,High,Individual
thendricks@example.org,Benjamin Stein,45,36-50,High,Small Business
valeriesmith@example.com,Ryan Kaiser,32,26-35,Premium,Enterprise
kelsey70@example.net,James Meyers,61,51-65,Premium,Enterprise
mbarnes@example.com,Raymond Wolf,47,36-50,Low,Individual
mmoore@example.com,Joseph Bradley,54,51-65,Premium,Enterprise
kennedywanda@example.net,David Hamilton,70,65+,High,Small Business
dwhite@example.org,Mr. Jackson Watson,49,36-50,Medium,Enterprise
davidharding@example.org,James Steele,70,65+,Medium,Small Business
omarturner@example.org,Pamela Howard,43,36-50,Medium,Small Business
sarah17@example.com,Paige Baird,40,36-50,Premium,Enterprise
tbryant@example.org,Valerie Wilson,57,51-65,Low,Individual
kristendavis@example.net,Katherine Cruz,44,36-50,Low,Enterprise
bcase@example.com,Kristen Ramirez,73,65+,Premium,Enterprise
colelisa@example.com,Larry Woods,58,51-65,High,Enterprise
erin57@example.org,Deborah Anderson,30,26-35,Medium,Individual
davidkane@example.com,Jonathan Smith,36,36-50,High,Individual
brownreginald@example.net,Kenneth Hurley,67,65+,Low,Individual
adam17@example.net,Tamara Carr,55,51-65,Low,Small Business
jennifer31@example.org,Ruth White,47,36-50,Premium,Enterprise
pricesarah@example.com,Anonymous Customer,59,51-65,Low,Small Business
davisautumn@example.org,Mr. Gregory Hart,20,18-25,Medium,Individual
edwardsronald@example.net,John Aguirre,25,18-25,Premium,Enterprise
kbrown@example.org,Jack Arroyo,34,26-35,Medium,Individual
erin07@example.com,Joel Pacheco,34,26-35,Premium,Small Business
anna54@example.org,Victoria Miller,72,65+,High,Individual
kwatkins@example.org,Rebecca Boyd,37,36-50,Premium,Individual
sue16@example.net,Haley Larson,68,65+,High,Enterprise
tiffanyharris@example.com,Rebecca Robertson,75,65+,High,Small Business
johnsonmartin@example.org,Cindy Townsend,50,36-50,Low,Small Business
caseystafford@example.org,Mary Powell,85,65+,Premium,Enterprise
matthewhull@example.com,Monica Kim,64,51-65,Medium,Individual
bwilliams@example.com,Scott Werner,66,65+,Premium,Individual
patricia88@example.org,Colleen Robbins,83,65+,Premium,Small Business
zmorse@example.net,Christopher Mcbride,18,18-25,Medium,Individual
matthew77@example.com,Thomas Fernandez,29,26-35,Medium,Small Business
christopher62@example.org,Ian Harvey,63,51-65,Medium,Small Business
rachel51@example.org,Roger Wheeler,16,18-25,Low,Individual
prestoncory@example.org,Emily Johnson,76,65+,Low,Enterprise
ymaxwell@example.org,Anonymous Customer,76,65+,Premium,Enterprise
dfleming@example.net,Mrs. Erin Phillips,37,36-50,Premium,Enterprise
samantha54@example.net,Mark Sullivan,21,18-25,Low,Individual
estradaian@example.com,Christopher Smith,73,65+,Medium,Enterprise
smithmichelle@example.net,Kylie Wiggins,21,18-25,Premium,Enterprise
rebeccareed@example.net,Francisco Rogers,59,51-65,Low,Small Business
antonio40@example.com,Debbie Schultz,49,36-50,Premium,Small Business
dlarson@example.com,Michele Richard,82,65+,Low,Enterprise
elizabethcalderon@example.org,Megan Schneider,37,36-50,High,Enterprise
kendra03@example.net,Mrs. Megan Robinson,84,65+,Premium,Individual
johnsross@example.net,April Bailey,58,51-65,High,Enterprise
courtney13@example.net,Paige Brown,48,36-50,Low,Small Business
susanhoward@example.org,Anonymous Customer,48,36-50,High,Small Business
paul00@example.com,Keith Thomas,39,36-50,High,Enterprise
jduncan@example.org,Laura Schneider,73,65+,Low,Small Business
osbornepaula@example.com,Michelle Woods,16,18-25,Premium,Individual
eileenhudson@example.com,Michael Moran,19,18-25,High,Enterprise
andrewlong@example.com,Tracey Brooks,62,51-65,Premium,Individual
robinsoncynthia@example.org,Sarah Cook,82,65+,Low,Individual
gwhite@example.com,William Edwards Jr.,38,36-50,High,Small Business
jefferywalker@example.com,Kevin Burton,32,26-35,High,Enterprise
daypatricia@example.net,Adrian Cobb,69,65+,High,Small Business
pdixon@example.org,Aaron Duran,19,18-25,Low,Enterprise
irobinson@example.net,Audrey Cruz,21,18-25,Premium,Small Business
kcook@example.net,Steven Cook,20,18-25,High,Individual
jacksonjillian@example.com,Mrs. Shannon Valencia,37,36-50,High,Individual
robertbrock@example.org,Anthony Ashley,85,65+,Medium,Enterprise
abigail14@example.com,Michael Ellis,80,65+,High,Individual
zwilson@example.com,Melissa Martinez,60,51-65,High,Small Business
jaimegraves@example.org,Miguel Pierce,48,36-50,Medium,Enterprise
gomezrenee@example.org,Lisa Keller,37,36-50,Low,Individual
ariana61@example.org,Katherine Smith,82,65+,Low,Enterprise
crossnicole@example.net,Joseph Cook,24,18-25,High,Enterprise
jameszachary@example.net,William Jackson,51,51-65,High,Enterprise
znichols@example.net,Patricia Stark,52,51-65,Medium,Small Business
carloswerner@example.net,Anonymous Customer,51,51-65,Low,Individual
martin40@example.net,Lauren Nolan,44,36-50,Low,Individual
brownandrea@example.net,Brenda Bowen Dds,22,18-25,Medium,Individual
derekdougherty@example.org,Lori Roberson,18,18-25,Premium,Small Business
jessicamiddleton@example.net,Donald Archer,75,65+,Low,Small Business
barbara30@example.net,Jason Ashley,46,36-50,Low,Enterprise
tiffanyhill@example.net,Morgan Anderson,36,36-50,High,Individual
ijimenez@example.net,Samuel Anderson,56,51-65,Medium,Enterprise
wesleybutler@example.org,Jake Lee,42,36-50,Premium,Small Business
cooperlaura@example.org,Craig Fleming,46,36-50,Medium,Individual
carrjeffrey@example.org,Joyce Kelly,18,18-25,Premium,Individual
rfleming@example.net,Christopher George,23,18-25,Low,Enterprise
brandisosa@example.org,James Franklin,27,26-35,High,Enterprise
carl66@example.org,Alyssa Wright,71,65+,Low,Enterprise
barnesalexis@example.org,Rebecca Harris,37,36-50,Medium,Enterprise
zskinner@example.com,Stephen Novak,22,18-25,Medium,Enterprise
fspears@example.net,Amanda Hall,20,18-25,Low,Enterprise
kimberly44@example.net,Heidi Brown,71,65+,Medium,Small Business
zsanford@example.org,Anonymous Customer,80,65+,Premium,Small Business
tcooper@example.net,Randy Love,49,36-50,High,Individual
paulhamilton@example.org,Jesse Anderson,60,51-65,Premium,Individual
vwade@example.com,Charles Robinson,80,65+,High,Small Business
craigrobertson@example.net,Melissa Adams,75,65+,Premium,Enterprise
singhsarah@example.org,Amanda Moss,47,36-50,High,Individual
barrettashley@example.com,Eric Hoover,24,18-25,Low,Enterprise
jenniferrivers@example.com,Justin Ballard,78,65+,Low,Enterprise
diazjoe@example.org,Chelsea Diaz,34,26-35,Medium,Enterprise
chrismccarthy@example.com,Tiffany Johnson,30,26-35,High,Individual
mitchell76@example.net,Kathryn Johnson,78,65+,Low,Enterprise
umatthews@example.com,Kathryn Flynn,51,51-65,Medium,Enterprise
michaelallen@example.com,Stephanie Reid,60,51-65,Medium,Small Business
erivers@example.com,Scott Long,48,36-50,Medium,Individual
mitchell80@example.net,Beth Thompson,55,51-65,Low,Small Business
william52@example.com,Taylor Stark,50,36-50,Medium,Individual
csanders@example.org,Richard Watson,19,18-25,Premium,Enterprise
derrick59@example.org,Cynthia Chavez,16,18-25,Premium,Small Business
cuevasstephanie@example.net,Bryan Cervantes,32,26-35,Medium,Enterprise
tvelasquez@example.com,Danielle Merritt,73,65+,Medium,Small Business
xrobinson@example.com,Nathan Brown,49,36-50,Low,Enterprise
fergusongina@example.org,Terry Mckee,38,36-50,Medium,Enterprise
sarahmiller@example.net,Samantha Gillespie,58,51-65,Premium,Enterprise
eric54@example.net,Thomas Hawkins,24,18-25,Medium,Small Business
rgreen@example.net,Stephen Wagner,68,65+,Low,Individual
mollypeck@example.net,Amber Crawford,27,26-35,Medium,Enterprise
jeffreywallace@example.com,Jennifer Peterson,46,36-50,High,Small Business
jamessmith@example.com,Jennifer Nguyen,47,36-50,Premium,Individual
lisa78@example.org,Ronald Buckley,31,26-35,High,Small Business
johnsonsamantha@example.com,Holly Banks,32,26-35,Medium,Individual
luisbates@example.org,Monica Jones,54,51-65,High,Small Business
hammondjeff@example.com,Larry Perez,54,51-65,Premium,Enterprise
rebekahgonzalez@example.org,Melissa Snyder,79,65+,High,Small Business
uthompson@example.org,Heather Moore,19,18-25,Low,Small Business
wbowers@example.org,Laura Welch,62,51-65,Low,Enterprise
reneehernandez@example.org,Luis Wilcox,16,18-25,High,Individual
patriciamorrison@example.org,Robin Perez,71,65+,Low,Individual
kimberlyperez@example.org,Samuel Vazquez,71,65+,High,Enterprise
dsanders@example.net,Jordan Stanton,50,36-50,Low,Small Business
duranlindsay@example.org,Cody Lawson,73,65+,Medium,Small Business
pgarcia@example.net,Adrian Martinez,44,36-50,Medium,Enterprise
janicestuart@example.com,Kristin Castro,20,18-25,High,Individual
amanda46@example.com,Lorraine Leblanc,77,65+,Medium,Small Business
tinabrandt@example.net,Paul Anderson,42,36-50,Low,Enterprise
walterskaren@example.com,Christopher Joseph,67,65+,Low,Individual
jenniferortega@example.net,Hannah Mooney Dvm,42,36-50,High,Individual
lbrown@example.net,Cassandra Mullen,42,36-50,Premium,Individual
marissareid@example.net,Matthew Mccullough,51,51-65,High,Individual
schmidtjoseph@example.net,Dana Wyatt,30,26-35,High,Enterprise
jermaine84@example.org,Brian Young Md,54,51-65,Low,Small Business
robinsonpaul@example.com,Brittany Beasley,73,65+,Low,Small Business
ashleycortez@example.net,Richard Beck,20,18-25,Medium,Enterprise
uwilliams@example.com,Erik Hill,63,51-65,Premium,Small Business
richardsonronnie@example.net,Christopher Sims,20,18-25,Premium,Individual
mark40@example.net,Keith Hull,61,51-65,High,Individual
brittanyhayes@example.com,Laura Bennett,67,65+,Low,Small Business
andrewjackson@example.org,Amy Lara,16,18-25,Low,Small Business
taylordorothy@example.org,Marcus Pearson,78,65+,Premium,Individual
nbullock@example.com,Dakota Sanchez,37,36-50,Premium,Enterprise
klewis@example.com,Maria Sullivan,43,36-50,Medium,Enterprise
davidpearson@example.net,Crystal Yates,18,18-25,Medium,Small Business
awong@example.com,Tyler Dominguez,61,51-65,Premium,Individual
james91@example.net,Taylor Shepard,53,51-65,Low,Individual
hunter12@example.org,Eric Johnson,54,51-65,High,Enterprise
tom64@example.com,Benjamin Wilkinson,32,26-35,Medium,Enterprise
dawsonaaron@example.com,Rebecca Mitchell,73,65+,Medium,Enterprise
tcrawford@example.net,Eric Gardner,43,36-50,Low,Individual
barnesjames@example.com,Tammy Dyer,66,65+,Premium,Small Business
johnsonjohn@example.com,Amanda Hodge,39,36-50,Premium,Small Business
kproctor@example.com,Curtis Chapman,54,51-65,Medium,Small Business
derrick63@example.com,John Miller,26,26-35,Medium,Small Business
whitemichael@example.org,Jacob Owens,80,65+,High,Enterprise
jimmy15@example.net,Jason Clark,85,65+,Premium,Individual
cheryl54@example.com,Lisa Hansen,40,36-50,Low,Individual
nancy43@example.com,Edwin Rivera,23,18-25,Low,Enterprise
fostersarah@example.net,Benjamin Mosley,61,51-65,Low,Individual
joshua74@example.org,Dana Thornton,84,65+,Medium,Enterprise
dustinwilliams@example.com,Sherri Baker,62,51-65,Medium,Enterprise
vanessacaldwell@example.net,Larry Woods,36,36-50,Medium,Small Business
cory21@example.org,Kelly Hodge,60,51-65,Premium,Small Business
dariusmendoza@example.org,Jill Brown,20,18-25,High,Enterprise
justinmckinney@example.com,Steven Stone,24,18-25,Medium,Enterprise
benjaminsmith@example.com,Robert Anderson,81,65+,Low,Individual
hernandezcheryl@example.net,Sarah James,80,65+,High,Enterprise
daniel13@example.net,Brenda Mclaughlin,27,26-35,High,Individual
llee@example.com,Scott Lin,48,36-50,Premium,Individual
farellano@example.net,Kaitlin Smith,49,36-50,Medium,Individual
jaime56@example.com,Benjamin Mccarthy,32,26-35,Premium,Small Business
brandon34@example.org,Daniel Weaver,78,65+,Medium,Small Business
arthurwright@example.com,Brooke Lambert,72,65+,High,Individual
smithjesse@example.com,Derek Clark,52,51-65,Premium,Enterprise
iharrington@example.org,Kathy Steele,33,26-35,Premium,Small Business
jennifer29@example.com,Stephanie Herring,55,51-65,Premium,Small Business
lucasteresa@example.com,Tina Hernandez,63,51-65,Medium,Enterprise
turnermckenzie@example.org,John Lopez,34,26-35,Premium,Individual
martinlisa@example.net,Riley Davenport,55,51-65,Low,Small Business
jessica23@example.org,George West,45,36-50,Low,Individual
taylordennis@example.com,Brittany Mcguire,35,26-35,Low,Enterprise
jamesortiz@example.com,Cindy Rich Md,29,26-35,Premium,Small Business
adiaz@example.com,Barbara Santana,77,65+,Low,Individual
karen53@example.net,Ricardo Lynch,78,65+,Premium,Individual
davidgilbert@example.org,Martin Clark,75,65+,Premium,Small Business
jimmyrobinson@example.net,Patricia Cabrera,69,65+,High,Enterprise
stephen90@example.org,Bonnie Martinez,32,26-35,Medium,Individual
kellyibarra@example.org,Tina Stanley,59,51-65,Low,Enterprise
donna87@example.net,Miranda Hendricks,21,18-25,Low,Enterprise
qmorris@example.com,Sandra Alvarez,76,65+,Medium,Enterprise
sarawilliams@example.com,Sandra Walls,28,26-35,High,Enterprise
kristinaharrison@example.org,Kimberly Knapp,51,51-65,Premium,Enterprise
carol95@example.com,Tara White,77,65+,Medium,Individual
staceywashington@example.net,Diane Scott,27,26-35,Medium,Enterprise
corymiller@example.org,Randy Jones,68,65+,High,Enterprise
toni86@example.net,Tracy Williams,48,36-50,Low,Individual
gibsonbrandon@example.com,Thomas Daugherty,49,36-50,Low,Individual
michaelmatthews@example.net,Rebecca Cantu,43,36-50,Premium,Small Business
snydergerald@example.org,Henry George,61,51-65,Low,Enterprise
bwhite@example.com,James Scott Ii,84,65+,Premium,Individual
rshelton@example.com,Charles Bennett,42,36-50,Low,Enterprise
jodysmith@example.net,Janet Rubio,20,18-25,Low,Individual
bwiley@example.com,William Phillips,27,26-35,Medium,Small Business
alexander70@example.org,Kathryn Greene,27,26-35,High,Small Business
charles53@example.net,Lisa Gray,62,51-65,Medium,Enterprise
ernestrich@example.net,Marcus Mckee Md,40,36-50,High,Small Business
ywells@example.org,Derrick Chavez,70,65+,High,Individual
blackwellmichael@example.org,Latoya Smith,54,51-65,Low,Individual
edwardmitchell@example.org,Brandi Valdez,20,18-25,High,Individual
bobbyvargas@example.com,Tina Mack,36,36-50,High,Enterprise
stevencortez@example.org,Lauren Hall,48,36-50,High,Individual
bradbennett@example.com,Ronald Sharp,74,65+,Low,Small Business
colton31@example.org,Jose Lucas,44,36-50,Medium,Enterprise
janetmoore@example.net,Sarah Williams,62,51-65,Low,Enterprise
kimberlywatson@example.com,Christian Herring,28,26-35,Low,Individual
mollystephens@example.net,Sophia Dawson,69,65+,High,Small Business
schmidtjose@example.net,Elizabeth Smith Phd,53,51-65,High,Small Business
williamspaul@example.net,William Brady,60,51-65,Medium,Enterprise
usanchez@example.net,Tara Ramos,72,65+,Low,Enterprise
sonya64@example.net,Tina Little,19,18-25,High,Small Business
nramsey@example.com,Anonymous Customer,45,36-50,Medium,Individual
frank48@example.org,Eric Brown,83,65+,Low,Individual
davismichelle@example.com,Diana Washington,43,36-50,Low,Individual
barbara81@example.net,Jennifer Lynch,71,65+,Premium,Small Business
brownnancy@example.com,Christina Moss,33,26-35,Premium,Enterprise
brownmichael@example.org,Michael Jackson,24,18-25,Medium,Individual
moniquesmith@example.net,George Stephens,82,65+,Premium,Small Business
andreasmith@example.com,Christopher Sanchez,57,51-65,Low,Small Business
donnacunningham@example.net,Tammy Kirby,68,65+,Low,Individual
lynnavila@example.org,James Terry,85,65+,Low,Individual
nicolemason@example.com,Ryan Haney,82,65+,Low,Enterprise
vrussell@example.org,Tina Lewis,17,18-25,Low,Individual
dthompson@example.org,Brian Welch,42,36-50,Low,Small Business
dudleyjames@example.net,Eric Waters,58,51-65,Medium,Small Business
coryfernandez@example.net,Christina Perez,80,65+,Low,Small Business
ricemark@example.net,Hannah Lopez,50,36-50,Premium,Enterprise
sullivanpaula@example.com,Anonymous Customer,16,18-25,Low,Enterprise
margaret20@example.net,Andrew Campos,67,65+,High,Individual
john19@example.org,Kelly Chase,31,26-35,Medium,Individual
hhuber@example.com,Anonymous Customer,57,51-65,High,Individual
iriley@example.net,Ashley Booker,82,65+,High,Enterprise
jessicasmith@example.net,Elizabeth Guerrero,82,65+,Premium,Enterprise
wferguson@example.org,Meredith Bennett,57,51-65,Low,Small Business
shane49@example.net,Laura Davis,51,51-65,Low,Individual
carrielambert@example.net,Tiffany Cooper,26,26-35,High,Individual
bethfranklin@example.com,Jeremy Evans,49,36-50,Premium,Individual
tgarza@example.org,Brenda Williamson,57,51-65,Premium,Individual
trancaitlin@example.com,Malik Washington,42,36-50,Premium,Enterprise
richard18@example.org,Dawn Bell,73,65+,High,Small Business
smurray@example.com,Kathy Turner,47,36-50,High,Enterprise
osbornkelly@example.net,Gwendolyn Ross,55,51-65,Premium,Small Business
elizabethrobertson@example.com,Dylan Smith,31,26-35,Premium,Enterprise
martindonald@example.com,Vincent Wilson,64,51-65,High,Individual
smithamy@example.com,Dylan Guzman,41,36-50,Medium,Enterprise
aaronwiley@example.net,Heather Garcia,59,51-65,Premium,Individual
itorres@example.net,Max Williams,69,65+,Medium,Enterprise
tranrobert@example.org,Nancy Green,53,51-65,Low,Individual
williamsjason@example.net,Tyler Kramer,45,36-50,Low,Small Business
deanna05@example.com,Olivia Powell,82,65+,Medium,Enterprise
qirwin@example.com,Dean Cunningham,42,36-50,Premium,Small Business
valdezalyssa@example.org,Anthony Juarez,71,65+,Premium,Individual
ronaldoneal@example.org,Regina Johnson,24,18-25,Premium,Individual
david90@example.com,Thomas Turner,50,36-50,Premium,Enterprise
xcardenas@example.org,Grant Henderson,51,51-65,High,Small Business
darrylkent@example.net,Jamie Cobb,71,65+,Premium,Enterprise
ltate@example.org,John Stewart,37,36-50,Medium,Small Business
scott04@example.com,Evelyn Lewis,57,51-65,Premium,Small Business
nathan39@example.com,Mr. Joshua Cohen,64,51-65,Medium,Small Business
larryburns@example.org,Ryan Meyers,34,26-35,Medium,Small Business
jacquelineatkins@example.net,Nicholas Robinson,50,36-50,Low,Individual
staceyarias@example.org,David Anderson,58,51-65,High,Enterprise
cynthiaford@example.org,Kaitlyn Leblanc,16,18-25,High,Individual
christinapeters@example.net,Kimberly Gardner,69,65+,High,Individual
george52@example.net,Frederick White,23,18-25,High,Enterprise
tracy91@example.com,Jared Madden,27,26-35,Medium,Enterprise
coxcarol@example.com,Thomas Rice,85,65+,Medium,Individual
danielle52@example.com,Derrick Hall,39,36-50,High,Enterprise
daniel71@example.com,Monique Castaneda,80,65+,Low,Individual
jordanboone@example.net,Robert Duncan,53,51-65,High,Small Business
walkerdavid@example.org,David Dixon,53,51-65,Premium,Individual
russocasey@example.org,Anonymous Customer,21,18-25,Premium,Enterprise
ronaldjohnson@example.com,Kelly Burke,30,26-35,Medium,Individual
gomezgrant@example.net,Carrie Mcintyre,68,65+,High,Individual
lesliebrown@example.org,Dustin Peters,48,36-50,Medium,Small Business
saradaniel@example.com,Eric Murphy,23,18-25,High,Individual
kellygina@example.org,Kayla Garcia,16,18-25,Premium,Individual
yramos@example.org,James Miller,46,36-50,Premium,Individual
jeffrey62@example.net,Leah Brown,69,65+,Premium,Small Business
vgreen@example.org,Stacy Soto,49,36-50,Low,Small Business
norrisdaniel@example.net,Anonymous Customer,57,51-65,Medium,Individual
marissasutton@example.com,Karen Ray,69,65+,Premium,Individual
caguilar@example.org,Kayla Black,23,18-25,Low,Enterprise
tmurphy@example.net,Jacqueline Rowe,76,65+,Low,Small Business
kirbybrett@example.org,Beth Holmes,46,36-50,Low,Enterprise
wilkinskevin@example.net,Kevin Simon,40,36-50,High,Small Business
murraysara@example.net,Susan Hayes,53,51-65,High,Enterprise
ruth45@example.org,Anonymous Customer,39,36-50,Premium,Enterprise
alexandramyers@example.net,Timothy Coleman,19,18-25,Medium,Enterprise
allisonpeterson@example.com,Nicholas Little,44,36-50,High,Enterprise
fflowers@example.com,Patricia Lane,67,65+,Low,Small Business
marthagriffin@example.net,Adam Nicholson,65,51-65,Low,Individual
orichards@example.com,Charles Hensley,41,36-50,High,Small Business
webstersteven@example.net,Mary Garner,74,65+,Low,Enterprise
vsmith@example.org,Maureen Lee,83,65+,High,Individual
susanpatel@example.net,Rachel Miller,52,51-65,Medium,Individual
sanchezronald@example.net,Matthew Edwards,65,51-65,Medium,Small Business
foleyjennifer@example.org,Erin Nichols,31,26-35,Low,Individual
eclark@example.com,Shawn Evans,25,18-25,Low,Small Business
itodd@example.com,Rachel Crawford,45,36-50,Premium,Individual
ncarroll@example.com,Gregory Le,30,26-35,High,Small Business
amy61@example.com,Amy Smith,44,36-50,Premium,Enterprise
michelle63@example.net,Joanna Sanchez,23,18-25,High,Enterprise
garciakelly@example.com,Heather Clarke,56,51-65,Medium,Enterprise
thomaswhite@example.org,Mary Massey,50,36-50,High,Small Business
vortiz@example.org,Kristopher Barajas,84,65+,High,Enterprise
casey61@example.org,Bradley Aguirre,50,36-50,High,Individual
cynthia35@example.net,Zachary Murray,35,26-35,Medium,Enterprise
brad51@example.org,Tamara Ortiz,35,26-35,Medium,Small Business
alanthomas@example.com,Kimberly Taylor,20,18-25,Medium,Small Business
bakerjonathon@example.com,Timothy Hicks,65,51-65,Premium,Small Business
ricebeth@example.net,Anonymous Customer,65,51-65,Medium,Individual
sarajohnston@example.net,Anonymous Customer,51,51-65,Low,Enterprise
hudsonglen@example.net,Jon Green,83,65+,Low,Enterprise
monica51@example.net,Teresa Hicks,16,18-25,Premium,Enterprise
ftaylor@example.org,Pamela Medina,26,26-35,Medium,Small Business
jshaffer@example.org,Craig May,24,18-25,High,Enterprise
kimberly03@example.com,James Collier,58,51-65,Premium,Enterprise
eharris@example.com,Olivia Santana,50,36-50,High,Individual
jasoncampbell@example.com,Tonya Walker,40,36-50,Premium,Individual
calderonclinton@example.net,Anonymous Customer,21,18-25,High,Enterprise
james60@example.org,Lisa Rodriguez,25,18-25,High,Individual
tarabradshaw@example.org,Casey Baker,55,51-65,High,Individual
carrjennifer@example.com,Shannon Hall,82,65+,Low,Individual
smithjasmine@example.com,Adam Chang,17,18-25,Medium,Small Business
erikwatson@example.org,Michele Garcia,48,36-50,Low,Small Business
corey22@example.com,Angela Howell,84,65+,Premium,Enterprise
yhernandez@example.com,Alyssa Cross,59,51-65,High,Individual
christian74@example.org,Jennifer White,79,65+,Low,Individual
geraldgarcia@example.net,Derek Wu,42,36-50,Medium,Small Business
ygarcia@example.org,Amanda Torres,81,65+,Medium,Enterprise
brianconrad@example.org,Chase Ross,21,18-25,Medium,Small Business
egriffith@example.net,Peggy Young,39,36-50,Medium,Small Business
morganthomas@example.com,Tyler Silva,16,18-25,Medium,Individual
johnsonsteven@example.net,Johnny Taylor,69,65+,Low,Individual
fjackson@example.org,Paul Johnson,37,36-50,High,Small Business
pwilkerson@example.com,Jamie Williams,53,51-65,High,Individual
leslie46@example.org,Bryan Brock,45,36-50,Medium,Small Business
wellsadam@example.com,Christopher Morton,46,36-50,High,Enterprise
katherinecarter@example.org,Anthony Good,43,36-50,Low,Enterprise
matthewlewis@example.net,Brandon Sanders,55,51-65,Premium,Individual
aguilarkevin@example.com,Brenda Oconnor,43,36-50,Premium,Enterprise
clarkian@example.net,Sophia Bennett,71,65+,Medium,Enterprise
portiz@example.com,Brandon Leblanc,63,51-65,Premium,Individual
josephcooper@example.net,Michelle Johnson,82,65+,Medium,Small Business
danielandrews@example.org,Heather Reyes,77,65+,Low,Individual
jacksonrussell@example.com,Kimberly Nielsen,21,18-25,Medium,Individual
jscott@example.com,Morgan Lang,62,51-65,High,Enterprise
jasongray@example.org,Veronica Craig,61,51-65,Medium,Individual
andrew37@example.net,Joseph Collins,79,65+,Premium,Small Business
henrychristine@example.net,Vanessa Rodriguez,84,65+,High,Individual
philliphayden@example.net,Eric Williams,59,51-65,Low,Individual
amber86@example.com,Rachel Petty,67,65+,Low,Individual
audreyrose@example.com,Amanda Moore,85,65+,High,Enterprise
cameronjackson@example.net,Charles Foley,26,26-35,Premium,Individual
aaron33@example.org,Todd Hernandez Jr.,25,18-25,Low,Enterprise
julia67@example.org,Joshua Bennett,56,51-65,High,Small Business
martinezdavid@example.org,Aaron Black,37,36-50,High,Enterprise
loritaylor@example.com,Savannah Davis,31,26-35,High,Individual
nsingh@example.org,Natalie Perkins,55,51-65,Medium,Small Business
bendermichelle@example.net,Robert Rogers,79,65+,Low,Enterprise
johnsoncandice@example.net,David Sanchez,57,51-65,High,Enterprise
sharpjohn@example.com,Daniel Hamilton,77,65+,Premium,Individual
batesangela@example.com,Kelly Miller,80,65+,High,Small Business
edward03@example.net,Jonathan Malone,52,51-65,Low,Individual
marioallen@example.com,Mary Jones,26,26-35,Premium,Individual
justin46@example.com,Frank Harding,53,51-65,Low,Individual
josephschneider@example.org,Anthony Brown,29,26-35,Low,Individual
jasmineryan@example.org,Anonymous Customer,20,18-25,Premium,Individual
xcarlson@example.com,Tammie Delgado,62,51-65,Premium,Enterprise
vincent17@example.com,Steven Taylor,55,51-65,Medium,Small Business
dana36@example.com,Chad Perez,84,65+,Low,Individual
smithchristopher@example.net,Courtney Forbes,39,36-50,Premium,Small Business
dunnglenda@example.org,Kristin Taylor Dds,58,51-65,Low,Individual
mitchellmichelle@example.com,Mark Murphy,73,65+,High,Small Business
briansimmons@example.org,Amy Guzman,51,51-65,Premium,Enterprise
fmiller@example.net,Justin Boyd,81,65+,High,Enterprise
ashleybranch@example.net,Casey Terrell,61,51-65,High,Individual
belldavid@example.net,Anonymous Customer,61,51-65,Low,Individual
bmoss@example.com,Joseph Brooks,19,18-25,Low,Small Business
larry04@example.net,Patricia Cross,23,18-25,Premium,Individual
melissaevans@example.org,Veronica Barnes,35,26-35,Medium,Small Business
zball@example.net,Faith Smith,59,51-65,High,Enterprise
jimmy86@example.org,Ellen Bruce,52,51-65,High,Enterprise
margaretbarnett@example.org,Ms. Carla Stewart Md,32,26-35,Low,Small Business
ypadilla@example.com,Aaron Myers,62,51-65,Low,Enterprise
joshuajones@example.net,Jennifer Hernandez,32,26-35,Low,Individual
rdixon@example.net,Zachary Phelps,33,26-35,High,Small Business
